주차장명,위도,경도
언주로147길,37.51982005,127.0327639
도산대로45길,37.52289662,127.0370142
언주로171길,37.5270208,127.0329843
선릉로146길,37.52138784,127.0437375
선릉로132길,37.51778433,127.0423599
테헤란로64길,37.5047631,127.0512575
영동대로85길,37.50662718,127.057346
테헤란로26길,37.50002568,127.0365099
논현로28길,37.48363566,127.0438602
영동대로106길,37.51416345,127.0638489
영동대로96길,37.51020596,127.0643703
남부순환로397길,37.49349291,127.059774
대치동507-3,37.49315606,127.0629987
헌릉로745길,37.47031418,127.1186383
은마아파트,37.49961649,127.0659173
압구정로29길,37.53084614,127.0271391
대치유수지,37.50431853,127.0680522
일원동맛의거리,37.489263,127.0818109
도산대로25길32,37.52174613,127.0266426
도곡로327,37.49615651,127.0516657
도곡로21길7,37.49259343,127.0388719
도곡로421,37.49767882,127.0564526
강남치매지원센터,37.5103117,127.0463777
역삼1동문화센터,37.49537384,127.0332825
삼성1동문화센터,37.51435513,127.0626094
압구정428,37.52684211,127.0270562
역삼문화공원,37.50251419,127.0303905
언북초교,37.52012607,127.0447141
논현로32길15,37.48425211,127.0434399
대치2문화센터,37.50230604,127.0641871
논현초교,37.50849066,127.0262217
도곡초교,37.4995106,127.0544636
신구초교,37.5233613,127.0239915
구룡산제1호,37.47606698,127.067285
구룡산제2호,37.47606698,127.067285
포이초교,37.47591562,127.0525106
논현로22길,37.48202648,127.0484224
개포동공원,37.48970767,127.0682922
언주초교,37.48632308,127.0367927
개포로24길33,37.47713886,127.0497488
탄천제2호,37.49314747,127.0877676
탄천주차장,37.51411154,127.0664911
대청역,37.49491581,127.0793202
일원1동(기계식),37.48956575,127.0817931
영희초교,37.49230166,127.0811312
대왕초교,37.46462136,127.1055895
구청 부설,37.51796636,127.0470611
삼성로별관 부설,37.51590994,127.0521409
강남대로150길,37.51619355,127.0206546
논현로131길,37.51404727,127.0295491
테헤란로69길,37.50652223,127.0503971
밤고개로21길,37.49491581,127.0793202
